latitude,longitude,acq_date,ndvi,ndmi,land_cover,label
37.99284,40.12424,2021-12-17,-0.0415,0.1442,6,0
36.86505,39.45853,2023-06-15,0.5166,0.2456,4,1
36.86505,39.45853,2022-12-27,0.162,-0.1383,4,0
39.01546,31.63169,2021-06-25,0.651,0.2315,4,0
37.26574,36.01763,2020-09-04,0.9593,0.413,4,1
37.26574,36.01763,2020-03-18,0.9113,0.518,4,0
36.96248,31.41698,2021-07-31,0.613,0.1925,1,1
37.23256,36.2379,2021-07-30,0.1863,0.1201,1,1
37.23256,36.2379,2021-02-10,0.388,0.2284,1,0
37.07574,40.5745,2023-11-07,0.3066,0.0262,4,1
37.07574,40.5745,2023-05-21,0.3909,0.2352,4,0
36.93132,31.34945,2021-07-29,0.79,0.312,1,1
37.00075,40.21151,2021-01-11,0.2542,-0.103,4,1
37.00075,40.21151,2020-07-25,0.2157,-0.043,1,0
36.8643,37.38212,2020-08-30,0.0915,-0.1469,7,1
36.78337,28.18628,2021-07-29,0.7374,0.1854,1,1
36.78337,28.18628,2021-02-09,0.8899,0.4769,1,0
36.8813,30.84201,2021-05-23,0.2649,-0.0467,4,1
36.8813,30.84201,2020-12-04,0.1892,-0.219,4,0
36.96555,31.47423,2021-07-30,0.7294,0.2211,1,1
36.90901,37.53601,2022-07-03,0.2114,0.114,4,1
36.7644,39.4281,2021-12-02,0.1614,-0.2131,4,1
36.7644,39.4281,2021-06-15,0.1147,-0.0422,4,0
36.97286,35.89739,2020-03-24,0.2197,-0.0276,4,0
37.38372,42.10814,2020-09-06,0.262,-0.0201,5,1
36.76304,31.98077,2021-07-31,0.3006,-0.1144,8,1
36.22751,36.42347,2020-09-04,0.7645,0.3123,4,1
36.22751,36.42347,2020-03-18,0.1813,-0.1847,4,0
38.86393,31.94976,2020-10-27,0.0869,-0.113,4,1
38.85042,32.08492,2020-11-13,0.2643,-0.148,5,1
38.85042,32.08492,2020-05-27,0.1987,-0.0952,4,0
37.54953,42.52003,2021-06-30,0.5102,0.0232,5,1
37.54953,42.52003,2021-01-11,0.0665,0.7139,8,0
41.53276,36.12694,2020-09-15,0.1334,-0.0147,5,1
41.53276,36.12694,2020-03-29,0.4187,-0.0737,2,0
38.67068,27.98286,2020-09-23,0.4885,0.0479,4,1
38.67068,27.98286,2020-04-06,0.1812,-0.1458,4,0
36.85291,38.86744,2020-06-22,0.243,0.0652,4,1
36.85291,38.86744,2020-01-04,0.4878,0.0681,4,0
38.00862,39.92569,2023-07-17,0.1185,-0.0639,4,1
38.00862,39.92569,2023-01-28,0.5371,0.0629,4,0
36.70448,39.47331,2023-06-21,0.1682,-0.0815,4,1
36.70448,39.47331,2023-01-02,0.1331,-0.1255,4,0
37.67548,40.43808,2023-10-06,0.2185,0.0767,4,1
37.67548,40.43808,2023-04-19,0.5453,0.1934,4,0
37.73863,31.81062,2020-08-29,0.1203,-0.0505,7,1
37.50045,32.89958,2020-10-30,0.2715,0.0037,4,1
37.50045,32.89958,2020-05-13,0.1106,-0.0712,4,0
36.87769,31.35581,2021-07-28,0.7741,0.2529,1,1
36.64241,30.53756,2023-07-25,0.7045,0.0886,1,1
36.64241,30.53756,2023-02-05,0.8619,0.2557,1,0
38.50692,34.4487,2021-10-09,0.1128,-0.1514,7,1
39.58315,33.83793,2023-09-23,0.1661,-0.1026,4,1
39.58315,33.83793,2023-04-06,0.4528,0.1043,4,0
36.25317,33.71047,2021-02-11,0.252,-0.0218,5,0
37.65976,39.20849,2020-09-16,0.0958,-0.0424,7,1
37.65976,39.20849,2020-03-30,0.3079,0.1023,4,0
39.74819,44.73184,2020-03-25,0.1485,-0.2339,5,1
37.22935,38.98366,2020-06-28,0.208,0.1426,4,1
37.22935,38.98366,2020-01-10,0.5483,0.0894,4,0
38.30082,37.11187,2021-10-15,0.344,0.005,4,1
39.13182,40.05472,2020-08-31,0.3377,-0.0927,5,1
39.15176,39.10449,2021-08-01,0.5825,0.1409,1,1
39.15176,39.10449,2021-02-12,0.1557,0.1141,8,0
36.24545,36.3942,2020-08-25,0.0546,-0.1614,4,1
36.24545,36.3942,2020-03-08,0.9114,0.4908,4,0
37.35468,38.51787,2020-10-07,0.2761,0.0635,4,1
36.91737,35.15263,2022-09-16,0.2855,-0.1393,4,1
36.91737,35.15263,2022-03-30,0.1259,-0.1484,4,0
37.01942,40.14154,2020-06-12,0.2553,0.0943,4,1
37.53749,42.09499,2021-09-15,0.466,0.0717,1,1
36.35489,36.53125,2020-09-05,0.1056,-0.1182,4,1
36.35489,36.53125,2020-03-19,0.4549,0.1327,4,0
36.88528,35.54647,2021-08-17,0.9398,0.5106,4,1
36.94291,39.09602,2021-12-02,0.2187,-0.04,4,1
36.94291,39.09602,2021-06-15,0.2154,0.0811,4,0
38.24064,40.37267,2023-08-14,0.124,-0.0516,7,1
38.24064,40.37267,2023-02-25,0.7178,0.2827,4,0
36.84926,37.54716,2020-10-12,0.4148,0.1545,4,1
36.84926,37.54716,2020-04-25,0.3345,-0.0235,3,0
